"唶"	""	"ZJ"	"zan"	"唶"
"骉"	""	"BM"	"bian"	"骉"
"扢"	""	"GB"	"gou"	"扢"
"柣"	""	"VI"	"zhi"	"柣"
"捯"	""	"DG"	"deng"	"捯"
"憖"	""	"YN"	"yin"	"憖"
"醟"	""	"YY"	"ying"	"醟"
"奅"	""	"PJ"	"pan"	"奅"
"蕣"	""	"UU"	"shu"	"蕣"
"奘"	""	"VD"	"ZHUANG"	"奘壮"
"弍"	""	"ER"	"er"	"弍"
"阛"	""	"HR"	"huan"	"阛"
"膁"	""	"QM"	"qian"	"膁"
"掞"	""	"YJ"	"yan"	"掞"
"暵"	""	"HJ"	"han"	"暵"
"筥"	""	"JU"	"ju"	"筥"
"籎"	""	"YI"	"yi"	"籎"
"傢"	""	"JI"	"ji"	"傢"
"嘒"	""	"HV"	"hui"	"嘒"
"椸"	""	"YI"	"yi"	"椸"
"藠"	""	"JC"	"jiao"	"藠"
"鏦"	""	"CS"	"cong"	"鏦"
"瞜"	""	"LS"	"long"	"瞜"
"抪"	""	"PY"	"ping"	"抪"
"鬴"	""	"FU"	"fu"	"鬴"
"虸"	""	"ZI"	"zi"	"虸"
"楯"	""	"UU"	"shu"	"楯"
"梣"	""	"CF"	"cen"	"梣"
"窾"	""	"KU"	"ku"	"窾"
"騑"	""	"FJ"	"fan"	"騑"
"塱"	""	"LH"	"lang"	"塱"
"憙"	""	"XI"	"xi"	"憙"
"垿"	""	"XU"	"xu"	"垿"
"絁"	""	"UF"	"shen"	"絁"
"荅"	""	"DA"	"da"	"荅"
"絡"	""	"LO"	"luo"	"絡"
"豨"	""	"XI"	"xi"	"豨"
"杼"	"木予"	"VU"	"ZHU"	"杼舒"
"侂"	""	"TR"	"tuan"	"侂"
"剺"	""	"LZ"	"lei"	"剺"
"怹"	""	"SO"	"suo"	"怹"
"楢"	""	"YY"	"ying"	"楢"
"鵎"	""	"TO"	"tuo"	"鵎"
"潟"	""	"XI"	"xi"	"潟"
"坐"	"从土"	"ZO"	"ZUO"	"坐从座唑侳挫坚坠"
"稖"	""	"BH"	"bang"	"稖"
"蚑"	""	"QI"	"qi"	"蚑"
"髭"	""	"ZI"	"ZI"	"髭此鬃鬉"
"淟"	""	"TI"	"ti"	"淟"
"袆"	""	"HD"	"huang"	"袆"
"玭"	""	"PM"	"pian"	"玭"
"碨"	""	"WZ"	"wei"	"碨"
"跼"	""	"JU"	"ju"	"跼"
"媠"	""	"TO"	"tuo"	"媠"
"株"	"木朱"	"VU"	"ZHU"	"株朱侏诛洙邾株茱珠蛛铢殊棕栋妹祥抹"
"斮"	""	"VO"	"zhuo"	"斮"
"垍"	""	"JI"	"ji"	"垍"
"跩"	""	"VR"	"zhuan"	"跩"
"鱚"	""	"XI"	"xi"	"鱚"
"纆"	""	"MO"	"mo"	"纆"
"鮡"	""	"VJ"	"zhan"	"鮡"
"鄠"	""	"HU"	"hu"	"鄠"
"猺"	""	"YH"	"yang"	"猺"
"汍"	""	"WA"	"wa"	"汍"
"亹"	""	"WZ"	"wei"	"亹"
"樋"	""	"TY"	"ting"	"樋"
"轇"	""	"JC"	"jiao"	"轇"
"筈"	""	"KP"	"kun"	"筈"
"淩"	""	"LN"	"lin"	"淩"
"堶"	""	"TV"	"tui"	"堶"
"樀"	""	"VK"	"zhao"	"樀"
"煴"	""	"YT"	"yue"	"煴"
"翾"	""	"XU"	"xu"	"翾"
"埻"	""	"VO"	"zhuo"	"埻"
"辵"	""	"IO"	"chuo"	"辵"
"蹚"	""	"TJ"	"tan"	"蹚"
"褎"	""	"XY"	"xing"	"褎"
"僕"	""	"PU"	"PU"	"僕"
"頫"	""	"FU"	"FU"	"頫"
"濲"	""	"GU"	"gu"	"濲"
"潕"	""	"WO"	"wo"	"潕"
"噭"	""	"JC"	"jiao"	"噭"
"荍"	""	"QD"	"qiang"	"荍"
"泳"	"三永"	"YS"	"YONG"	"泳永昶咏汰砍流你咏玖"
"糌"	"米咎"	"ZJ"	"ZAN"	"糌昝簪昝"
"揸"	""	"VA"	"ZHA"	"揸喳查揸楂"
"赵"	""	"VK"	"ZHAO"	"赵走起趁赶超赴茬"
"置"	"四直"	"VI"	"ZHI"	"置罟喜署眷宣誊冒"
"阼"	""	"ZO"	"ZUO"	"阼作昨乍胙祚柞怍鈼"
"议"	"言义"	"YI"	"YI"	"议义蚁诀识仪讼汰汉"
"揖"	""	"YI"	"YI"	"揖缉缉捐搭捍拆损"
"羽"	"习习"	"YU"	"YU"	"羽翼冈钩泥泅狗涧"
"原"	""	"YR"	"YUAN"	"原愿塬愿螈愿尿底债盾俘"
"站"	"立占"	"VJ"	"ZHAN"	"站占战姑砧妨拈钻妇"
"雉"	"矢隹"	"VI"	"ZHI"	"雉谁"
"黹"	""	"VI"	"ZHI"	"黹弊敝"
"指"	""	"VI"	"ZHI"	"指旨诣拾抬搭猎形报"
"氏"	""	"VI"	"ZHI"	"氏氐邸鸱民庆床历沃斥"
"知"	"矢口"	"VI"	"ZHI"	"知踟郊如却郑刻剖"
"钻"	"金占"	"ZR"	"ZUAN"	"钻占店战佔粘跕站铂铅姑拈钮"
"偝"	""	"BZ"	"bei"	"偝"
"偢"	""	"IU"	"chu"	"偢"
"岘"	"山见"	"XM"	"XIAN"	"岘见"
"襄"	""	"XD"	"XIANG"	"襄镶骧裹祭袭蓑篓塞"
"彐"	""	"XP"	"XUN"	"彐扫"
"言"	"三口"	"YJ"	"YAN"	"言吝盲青宦苔喜丢"
"译"	""	"YI"	"YI"	"译峄怿择浑涤详泽谆"
"硬"	"石更"	"YY"	"YING"	"硬更梗埂便码磺硒"
"崌"	""	"JU"	"ju"	"崌"
"槺"	""	"KJ"	"kan"	"槺"
"俞"	""	"YU"	"YU"	"俞逾愉命前愈顷箭泉"
"狳"	""	"YU"	"YU"	"狳余"
"越"	"走戊"	"YT"	"YUE"	"越钺樾超趣趟趁题拯"
"喳"	"口查"	"VA"	"ZHA"	"喳查渣揸楂喧碴嗜唆喀噎"
"獐"	""	"VH"	"ZHANG"	"獐樟璋蟑章鄣嫜彰漳"
"徵"	""	"VG"	"ZHENG"	"徵微徽"
"髧"	""	"DJ"	"dan"	"髧"
"镛"	"金庸"	"YS"	"YONG"	"镛鳙佣痈佣慵墉"
"侦"	"人贞"	"VF"	"ZHEN"	"侦贞浈桢帧伍怖顶恤愤"
"躅"	"足蜀"	"VU"	"ZHU"	"躅蜀"
"荈"	""	"IR"	"chuan"	"荈"
"昳"	""	"DX"	"die"	"昳"
"饴"	""	"YI"	"YI"	"饴怡诒贻饴眙"
"垠"	""	"YN"	"YIN"	"垠艮很狠狼银"
"颍"	""	"YY"	"YING"	"颍颖"
"胝"	"月氐"	"VI"	"ZHI"	"胝祗氐邸鸱"
"韛"	""	"BA"	"ba"	"韛"
"寯"	""	"JP"	"jun"	"寯"
"猪"	""	"VU"	"ZHU"	"猪诸者储潴槠猪锗诸猜猪猖"
"磻"	""	"BO"	"bo"	"磻"
"龉"	"齿吾"	"YU"	"YU"	"龉齿龄龈龌龃龊龉龆龀"
"轖"	""	"SH"	"sang"	"轖"
"磔"	"石桀"	"VE"	"ZHE"	"磔"
"樽"	"木尊"	"ZP"	"ZUN"	"樽撙鳟遵尊僔墫嶟蹲"
"庾"	"广臾"	"YU"	"YU"	"庾腴萸谀瘐"
"摺"	""	"VE"	"ZHE"	"摺褶"
"樲"	""	"ER"	"er"	"樲"
"慅"	""	"SL"	"sai"	"慅"
"咥"	""	"XI"	"xi"	"咥"
"眢"	""	"YR"	"YUAN"	"眢旮"
"抓"	""	"VW"	"ZHUA"	"抓爪弧孤那狐扔孙"
"缁"	""	"ZI"	"ZI"	"缁淄辎鲻锱"
"覗"	""	"UP"	"shun"	"覗"
"哲"	"哲口"	"VE"	"ZHE"	"哲折替皆暂苞彭咨"
"籀"	""	"VB"	"ZHOU"	"籀"
"棪"	""	"XP"	"xun"	"棪"
"潠"	""	"SR"	"suan"	"潠"
"踠"	""	"WJ"	"wan"	"踠"
"轕"	""	"GE"	"ge"	"轕"
"杂"	"九木"	"ZA"	"ZA"	"杂夬九亲荣柒朵菇架"
"颩"	""	"DY"	"ding"	"颩"
"靺"	""	"MY"	"ming"	"靺"
"猋"	""	"BM"	"bian"	"猋"
"啝"	""	"HE"	"he"	"啝"
"鄋"	""	"SI"	"si"	"鄋"
"峂"	""	"TY"	"ting"	"峂"
"迆"	""	"YI"	"yi"	"迆"
"檨"	""	"UJ"	"shan"	"檨"
"谞"	""	"XS"	"xiong"	"谞"
"喆"	"吉吉"	"VE"	"ZHE"	"喆"
"斋"	"文而"	"VL"	"ZHAI"	"斋而高离荔竟竞壳"
"惼"	""	"BM"	"bian"	"惼"
"狟"	""	"HR"	"huan"	"狟"
"驲"	""	"RH"	"rang"	"驲"
"搌"	""	"VJ"	"ZHAN"	"搌抿展展"
"蛰"	"执虫"	"VE"	"ZHE"	"蛰执热垫挚蛮蜜黎葵"
"耇"	""	"GG"	"geng"	"耇"
"洴"	""	"PC"	"piao"	"洴"
"趯"	""	"TI"	"ti"	"趯"
"裯"	""	"IB"	"chou"	"裯"
"幪"	""	"MZ"	"mei"	"幪"
"宥"	""	"YB"	"YOU"	"宥侑有囿"
"仗"	"人丈"	"VH"	"ZHANG"	"仗帐杖丈仅位仕过伎住"
"蛀"	"虫主"	"VU"	"ZHU"	"蛀主柱蚌蛙蚊妓妊蛇"
"撉"	""	"DP"	"dun"	"撉"
"醨"	""	"LG"	"leng"	"醨"
"芷"	""	"VI"	"ZHI"	"芷止祉趾"
"憭"	""	"LD"	"liang"	"憭"
"縚"	""	"TH"	"tang"	"縚"
"轘"	""	"HR"	"huan"	"轘"
"毬"	""	"QQ"	"qiu"	"毬"
"醉"	"酉卒"	"ZV"	"ZUI"	"醉醇酿醯酪酚酵醇酶醋"
"运"	""	"YP"	"YUN"	"运去支逗迄迈适达返"
"昒"	""	"HB"	"hou"	"昒"
"悮"	""	"WU"	"wu"	"悮"
"撴"	""	"DP"	"dun"	"撴"
"螠"	""	"YI"	"yi"	"螠"
"垱"	""	"DE"	"de"	"垱"
"汫"	""	"JY"	"jing"	"汫"
"佚"	"人失"	"YI"	"YI"	"佚秩失"
"祝"	"衣兄"	"VU"	"ZHU"	"祝兄说兑视祖杭祈忧矾"
"瘃"	""	"VU"	"ZHU"	"瘃逐遂"
"挓"	""	"ZK"	"zao"	"挓"
"瑀"	""	"YU"	"yu"	"瑀"
"矱"	""	"YU"	"yu"	"矱"
"牉"	""	"PL"	"pai"	"牉"
"漙"	""	"TS"	"tong"	"漙"
"妘"	""	"YT"	"yue"	"妘"
"決"	""	"JT"	"JUE"	"決"
"账"	"贝长"	"VH"	"ZHANG"	"账长胀帐贴帐财贩赃赂"
"诈"	"言乍"	"VA"	"ZHA"	"诈乍昨咋砟许作柞炸炉汐"
"枣"	""	"ZK"	"ZAO"	"枣棘刺卑牵卒李率奉"
"邾"	""	"VU"	"ZHU"	"邾洙茱株朱侏诛洙珠蛛铢"
"駪"	""	"UK"	"shao"	"駪"
"祊"	""	"BF"	"ben"	"祊"
"徯"	""	"XI"	"xi"	"徯"
"箣"	""	"CE"	"ce"	"箣"
"纑"	""	"LS"	"long"	"纑"
"蒻"	""	"RV"	"rui"	"蒻"
"葹"	""	"UF"	"shen"	"葹"
"砄"	""	"JT"	"jue"	"砄"
"扽"	""	"DI"	"di"	"扽"
"榲"	""	"WZ"	"wei"	"榲"
"甿"	""	"MZ"	"mei"	"甿"
"罃"	""	"YN"	"yin"	"罃"
"濆"	""	"PJ"	"pan"	"濆"
"鮅"	""	"BI"	"bi"	"鮅"
"蹐"	""	"JI"	"ji"	"蹐"
"迻"	""	"YE"	"ye"	"迻"
"掯"	""	"KE"	"ke"	"掯"
"屃"	""	"XI"	"xi"	"屃"
"湣"	""	"MM"	"mian"	"湣"
"嶰"	""	"XX"	"xie"	"嶰"
"鮀"	""	"TP"	"tun"	"鮀"
"崐"	"山昆"	"KP"	"KUN"	"崐"
"裡"	""	"LI"	"LI"	"裡"
"覈"	""	"HE"	"he"	"覈"
"搢"	""	"JN"	"jin"	"搢"
"鞦"	""	"QY"	"qing"	"鞦"
"觷"	""	"XR"	"xuan"	"觷"
"祐"	""	"YS"	"yong"	"祐"
"栿"	""	"FU"	"fu"	"栿"
"涊"	""	"NI"	"ni"	"涊"
"曚"	""	"MF"	"men"	"曚"
"鼧"	""	"TO"	"tuo"	"鼧"
"嬅"	"女华"	"HW"	"HUA"	"嬅"
"鯱"	"鱼虎"	"HU"	"HU"	"鯱"
"甾"	""	"ZA"	"ZA"	"甾淄辎"
"奰"	""	"BI"	"bi"	"奰"
"茖"	""	"GE"	"ge"	"茖"
"饾"	""	"DB"	"dou"	"饾"
"俛"	""	"MI"	"mi"	"俛"
"炘"	""	"XX"	"xie"	"炘"
"譊"	""	"NL"	"nai"	"譊"
"魆"	""	"XQ"	"xiu"	"魆"
"倂"	""	"BY"	"BING"	"倂"
"痆"	""	"NI"	"ni"	"痆"
"鉥"	""	"UI"	"shi"	"鉥"
"毌"	""	"GR"	"guan"	"毌"
"黵"	""	"VJ"	"zhan"	"黵"
"谿"	""	"XI"	"xi"	"谿"
"伋"	""	"JI"	"ji"	"伋"
"椥"	""	"VF"	"zhen"	"椥"
"泂"	""	"JS"	"jiong"	"泂"
"僿"	""	"SL"	"sai"	"僿"
"鮁"	""	"BA"	"BA"	"鮁"
"蠙"	""	"BN"	"bin"	"蠙"
"漖"	""	"JC"	"jiao"	"漖"
"榑"	""	"FU"	"fu"	"榑"
"權"	""	"QR"	"QUAN"	"權"
"羴"	""	"UJ"	"SHAN"	"羴"
"崙"	""	"LP"	"LUN"	"崙"
"暅"	""	"XU"	"xu"	"暅"
"謟"	""	"TH"	"tang"	"謟"
"碔"	""	"WG"	"weng"	"碔"
"縓"	""	"QR"	"quan"	"縓"
"羇"	""	"JI"	"ji"	"羇"
"枓"	""	"DB"	"dou"	"枓"
"呣"	""	"LO"	"luo"	"呣"
"垻"	"土贝"	"BA"	"BA"	"垻"
"婇"	"女采"	"CL"	"CAI"	"婇"
"忣"	""	"JI"	"ji"	"忣"
"皡"	""	"HK"	"hao"	"皡"
"幰"	""	"XM"	"xian"	"幰"
"啰"	""	"LR"	"luan"	"啰"
"帐"	"巾长"	"VH"	"ZHANG"	"帐杖丈仗账帖帜附啪胀"
"准"	"二隹，二佳"	"VP"	"ZHUN"	"准隹淮谁淮堆难泡冶"
"樱"	"木婴"	"YY"	"YING"	"樱婴鹦嘤撄缨璎罂傻缨楞楔楼搜"
"垣"	""	"YR"	"YUAN"	"垣亘宣桓填迈适恒迄"
"阵"	""	"VF"	"ZHEN"	"阵陈陈陷陆阿歧陡"
"贮"	""	"VU"	"ZHU"	"贮伫叹吐哑欧胜吸"
"淄"	""	"ZI"	"ZI"	"淄缁辎鲻锱滔墙消超湍涵"
"饸"	""	"HE"	"he"	"饸"
"絮"	"如系"	"XU"	"XU"	"絮如系繁紫驾察祭鬃"
"轺"	"车召"	"YK"	"YAO"	"轺召招"
"堙"	""	"YN"	"YIN"	"堙贾"
"钟"	"金中"	"VS"	"ZHONG"	"钟仲中忠种钾钞铂肿锌"
"骳"	""	"BZ"	"bei"	"骳"
"轒"	""	"FF"	"fen"	"轒"
"鄗"	""	"QM"	"qian"	"鄗"
"疡"	""	"YH"	"YANG"	"疡炀杨扬痘癌痹病痕痉"
"酯"	"酉旨"	"VI"	"ZHI"	"酯诣旨酉"
"鼥"	""	"BA"	"ba"	"鼥"
"唑"	"口坐"	"ZO"	"ZUO"	"唑坐座侳挫"
"鶗"	""	"TG"	"teng"	"鶗"
"渝"	"三俞"	"YU"	"YU"	"渝俞逾愉偷喻澈碗沥婉"
"诸"	"言者"	"VU"	"ZHU"	"诸者储猪潴槠猪诺漳堵佬请"
"琲"	""	"BZ"	"bei"	"琲"
"涖"	""	"LI"	"li"	"涖"
"鹝"	""	"YI"	"yi"	"鹝"
"踬"	"足质"	"VI"	"ZHI"	"踬质"
"胵"	""	"II"	"chi"	"胵"
"阸"	""	"EE"	"e"	"阸"
"抃"	""	"BM"	"bian"	"抃"
"鏻"	""	"LC"	"liao"	"鏻"
"臑"	""	"NH"	"nang"	"臑"
"擤"	""	"XY"	"XING"	"擤鼻"
"砑"	"石牙"	"YA"	"YA"	"砑牙邪"
"傒"	""	"WU"	"wu"	"傒"
"輶"	""	"YS"	"yong"	"輶"
"增"	"土曾"	"ZG"	"ZENG"	"增缯罾甑赠曾憎憎僧渭谱槽擅"
"嶓"	""	"BO"	"bo"	"嶓"
"掆"	""	"GH"	"gang"	"掆"
"瀹"	"三盒"	"YT"	"YUE"	"瀹盒龠"
"稚"	"禾隹，禾佳"	"VI"	"ZHI"	"稚隹谁雄租椎推雅锥"
"笯"	""	"NX"	"nie"	"笯"
"脤"	""	"UF"	"shen"	"脤"
"諠"	""	"XU"	"xu"	"諠"
"姽"	""	"GV"	"gui"	"姽"
"慜"	""	"MM"	"mian"	"慜"
"佌"	""	"CI"	"ci"	"佌"
"懃"	""	"QC"	"qiao"	"懃"
"痍"	""	"YI"	"YI"	"痍咦夷姨荑胰"
"睁"	"目争"	"VG"	"ZHENG"	"睁铮筝峥争诤狰挣睦狰晤晦膝膜"
"渊"	""	"YR"	"YUAN"	"渊湘洲滞湖淌测"
"骤"	"马聚"	"VB"	"ZHOU"	"骤聚鄹骡骏骚缀骇膝"
"剟"	""	"DP"	"dun"	"剟"
"啧"	"口责"	"ZE"	"ZE"	"啧责债帻"
"悾"	""	"KE"	"ke"	"悾"
"駜"	""	"BI"	"bi"	"駜"
"轥"	""	"LX"	"lie"	"轥"
"浞"	"三足"	"VO"	"ZHUO"	"浞足促捉"
"欬"	""	"JP"	"jun"	"欬"
"楒"	""	"UR"	"shuan"	"楒"
"餔"	""	"BU"	"bu"	"餔"
"狉"	""	"PG"	"peng"	"狉"
"勷"	""	"QT"	"que"	"勷"
"塆"	""	"WA"	"wa"	"塆"
"邕"	""	"YS"	"YONG"	"邕吧巴"
"贽"	"执贝"	"VI"	"ZHI"	"贽执挚垫热蛰鸷势"
"竺"	"竹二"	"VU"	"ZHU"	"竺笙"
"蓥"	""	"YY"	"YING"	"蓥滢潆"
"殒"	"歹员"	"YP"	"YUN"	"殒陨员"
"碫"	""	"DR"	"duan"	"碫"
"峃"	""	"XR"	"xuan"	"峃"
"屩"	""	"JR"	"juan"	"屩"
"睒"	""	"UA"	"sha"	"睒"
"棑"	""	"NV"	"nv"	"棑"
"珪"	"王圭"	"GV"	"GUI"	"珪"
"洤"	""	"QR"	"QUAN"	"洤"
"鰼"	""	"XI"	"xi"	"鰼"
"座"	"广坐"	"ZO"	"ZUO"	"座蓙"
"翙"	""	"HV"	"hui"	"翙"
"暋"	""	"MM"	"mian"	"暋"
"櫶"	""	"XM"	"xian"	"櫶"
"涴"	""	"WJ"	"wan"	"涴"
"彍"	""	"GO"	"guo"	"彍"
"輣"	""	"PZ"	"pei"	"輣"
"蕡"	""	"FF"	"fen"	"蕡"
"婞"	""	"XN"	"xin"	"婞"
"堩"	""	"GE"	"ge"	"堩"
"鹥"	""	"YK"	"yao"	"鹥"
"滃"	""	"WF"	"wen"	"滃"
"儴"	""	"QT"	"que"	"儴"
"馌"	""	"YK"	"yao"	"馌"
"冢"	""	"VS"	"ZHONG"	"冢家"
"姅"	""	"BJ"	"ban"	"姅"
"嵎"	""	"YB"	"you"	"嵎"
"讙"	""	"HY"	"huai"	"讙"
"遝"	""	"SV"	"sui"	"遝"
"眛"	""	"MZ"	"mei"	"眛"
"殑"	""	"QN"	"qin"	"殑"
"鹴"	""	"UI"	"shi"	"鹴"
"聉"	""	"TO"	"tuo"	"聉"
"踊"	"足甬"	"YS"	"YONG"	"踊甬用俑捅勇涌恿蛹确踏踞桶踊蹈"
"倞"	""	"JY"	"jing"	"倞"
"眬"	""	"LQ"	"liu"	"眬"
"罥"	""	"JR"	"juan"	"罥"
"晬"	""	"ZV"	"zui"	"晬"
"螾"	""	"YN"	"yin"	"螾"
"惎"	""	"JI"	"ji"	"惎"
"柂"	""	"YE"	"ye"	"柂"
"痏"	""	"WZ"	"wei"	"痏"
"鮍"	"鱼皮"	"PI"	"PI"	"鮍"
"茁"	""	"VO"	"ZHUO"	"茁出拙苗茧峦镇茨范"
"召"	"刀口"	"VK"	"ZHAO"	"召诏昭否舌百谷男舍"
"荧"	""	"YY"	"YING"	"荧荥莹萤营萦灸焚药荚炎苯"
"簪"	""	"ZJ"	"ZAN"	"簪糌昝"
"踡"	""	"QU"	"qu"	"踡"
"襐"	""	"XM"	"xian"	"襐"
"榃"	""	"TA"	"ta"	"榃"
"颙"	""	"YN"	"yin"	"颙"
"喭"	""	"YJ"	"yan"	"喭"
"砫"	""	"VU"	"zhu"	"砫"
"祏"	""	"UF"	"shen"	"祏"
"沚"	""	"VI"	"zhi"	"沚"
"盇"	"禾皿"	"HE"	"HE"	"盇"
"洿"	""	"WG"	"weng"	"洿"
"罽"	""	"JI"	"ji"	"罽"
"紩"	""	"VI"	"zhi"	"紩"
"嫕"	""	"YI"	"yi"	"嫕"
"梱"	""	"KV"	"kui"	"梱"
"懆"	""	"CH"	"cang"	"懆"
"噣"	""	"VU"	"zhu"	"噣"
"抆"	""	"WF"	"wen"	"抆"
"牸"	""	"ZI"	"zi"	"牸"
"慇"	""	"YI"	"yi"	"慇"
"捲"	""	"JR"	"JUAN"	"捲"
"脩"	""	"XY"	"xing"	"脩"
"瑢"	""	"RF"	"ren"	"瑢"
"喓"	""	"YJ"	"yan"	"喓"
"鞟"	""	"KP"	"kun"	"鞟"
"庤"	""	"VI"	"ZHI"	"庤"
"茲"	""	"ZI"	"ZI"	"茲"
"撝"	""	"HV"	"hui"	"撝"
"蹽"	""	"LD"	"liang"	"蹽"
"澾"	""	"SV"	"sui"	"澾"
"購"	""	"GB"	"gou"	"購"
"饆"	""	"BI"	"bi"	"饆"
"鲗"	""	"ZK"	"zao"	"鲗"
"洩"	""	"XX"	"XIE"	"洩"
"铇"	""	"PK"	"PAO"	"铇"
"齇"	""	"ZZ"	"zei"	"齇"
"玼"	""	"CI"	"ci"	"玼"
"咈"	""	"FU"	"fu"	"咈"
"癱"	""	"TA"	"ta"	"癱"
"匼"	""	"KH"	"kang"	"匼"
"珹"	""	"IG"	"CHENG"	"珹"
"騄"	""	"LU"	"LU"	"騄"
"廸"	"廴 由"	"DI"	"DI"	"低氐代代羝瓜惦悦抵恬促"
"莟"	"子页"	"HJ"	"HAN"	"顸预"
"纚"	"厂里"	"LI"	"LI"	"厘狸喱屋匣唇瘦屡厦"
"漅"	""	"IK"	"chao"	"韔"
"湶"	""	"QR"	"QUAN"	"券卷弄娄发寿爹卷"
"岕"	""	"JX"	"JIE"	"偈倡歇曷"
"児"	""	"ER"	"ER"	"儿丿几凡几八九凡北人"
"掛"	""	"GW"	"GUA"	"瓜胍呱爪皿低汛厄肛"
"咘"	"口布"	"BU"	"BU"	"咘部怖钸佈抪柨"
"栄"	""	"RS"	"RONG"	"荣荥嵘熔莱柒菜奈苗弟"
"嵕"	""	"ZS"	"zong"	"騣"
"胇"	""	"FZ"	"FEI"	"飞乙乀下卫乃万卞工"
"梶"	"巾隹,口佳"	"WZ"	"WEI"	"帷唯惟维潍"
"睸"	""	"MZ"	"MEI"	"没殳芟股设涯浸汾及渡"
"幹"	""	""	""	""
"挱"	"户斤"	"SO"	"SUO"	"所斤祈阶析队斩砍"
"巘"	""	"YJ"	"YAN"	"眼跟跟限眠眶脆服"
"瀫"	""	"HU"	"HU"	"乎呼轷烀平手干中千半"
"蓢"	"口郞"	"LH"	"LANG"	"啷朗郎"
"淂"	""	"DE"	"de"	"垱"
"汯"	"车双"	"HS"	"HONG"	"轰辍秦毒聂素泰萎"
"硃"	"木诸"	"VU"	"ZHU"	"槠猪诸者储潴"
"湰"	""	"LS"	"LONG"	"隆癃窿陛障陵隐睦窿"
"娗"	"女廷"	"TY"	"TING"	"挺莛蜓庭莛蜓霆廷迁艇挞拯捷摄涎斑"
"僈"	""	"MJ"	"MAN"	"颟两"
"玏"	"王力"	"YT"	"LE"	"乐烁东岳庆压床杀"
"揅"	"研手"	""	"YAN"	""
"銧"	"金光"	"ZR"	"GUANG"	"钻占店战佔粘跕站铂铅姑拈钮"
"瑝"	"王皇"	"HD"	"HUANG"	"肓育肩"
"霡"	"月永"	"ML"	"MAI"	"脉永水胳肠脖股脓肮"
"沕"	""	"WU"	"WU"	"勿匆匆劝勾功幻动"
"舧"	"舟凡"	"FJ"	"FAN"	"帆帖帽帕帧帜恤毗矾饥机"
"潩"	""	"YI"	"YI"	"颐熙顾颠贩陋倾颇"
"崠"	""	""	""	""
"峿"	"山吾"	""	""	""
"麈"	"鹿土"	"VU"	"ZHU"	"麈庇"
"鷩"	""	"BI"	"bi"	"鷩"
"喁"	"口禺"	"YS"	"YONG"	"喁遇喁寓"
"郅"	""	"VI"	"ZHI"	"郅至"
"奏"	""	"ZB"	"ZOU"	"奏春揍楱秦秦萎妻青泰责"
"梧"	"木吾"	"WU"	"WU"	"梧唔语浯棺桓晤椅格倍"
"萤"	""	"YY"	"YING"	"萤莹荧荥营萦莹茧董黄茵蛮"
"揙"	""	"BM"	"bian"	"揙"
"应"	""	"YY"	"YING"	"应兴庄还茁反近历"
"肀"	""	"YU"	"YU"	"肀聿"
"栽"	""	"ZL"	"ZAI"	"栽载裁我载莉哉怒"
"蓁"	""	"VF"	"ZHEN"	"蓁秦棒楱"
"腙"	"月宗"	"ZS"	"ZONG"	"腙宗鬃粽综棕脘踪踪倧猔碂綜"
"夿"	""	"BA"	"ba"	"夿"
"倅"	""	"CV"	"cui"	"倅"
"玕"	""	"GL"	"gai"	"玕"
"潵"	""	"RO"	"ruo"	"潵"
"铱"	"金衣"	"YI"	"YI"	"铱衣依铣城钒械铰输"
"载"	""	"ZL"	"ZAI"	"载栽裁戴截栽敷哉"
"役"	""	"YI"	"YI"	"役股投径段栓授沿"
"緺"	""	"GU"	"gu"	"緺"
"粤"	"奥亏"	"YT"	"YUE"	"粤奥卑臂管弯答夸"
"訑"	""	"DJ"	"dan"	"訑"
"症"	""	"VG"	"ZHENG"	"症政正痉疲疾疤淀痘"
"櫕"	""	"CV"	"cui"	"櫕"
"秭"	"禾弟"	"ZI"	"ZI"	"秭姊秄笫"
"痗"	""	"MZ"	"mei"	"痗"
"偫"	""	"VI"	"zhi"	"偫"
"致"	"至文"	"VI"	"ZHI"	"致至敌教敖效敦纽"
"余"	"人示"	"YU"	"YU"	"余徐金奈杀舍帝朵"
"犎"	""	"FF"	"fen"	"犎"
"刲"	""	"KY"	"kuai"	"刲"
"衖"	""	"LS"	"long"	"衖"
"燕"	""	"YJ"	"YAN"	"燕萍热狡赦猿孩"
"因"	"口大"	"YN"	"YIN"	"因回困国围固囚团"
"捝"	""	"TV"	"tui"	"捝"
"潀"	""	"CS"	"cong"	"潀"
"縑"	""	"JM"	"jian"	"縑"
"稜"	""	"LG"	"LENG"	"稜"
"棕"	"木宗"	"ZS"	"ZONG"	"棕脘鬃踪宗粽综踪腙倧猔碂綜栋株椽棉踪核"
"鰶"	""	"JI"	"ji"	"鰶"
"耞"	""	"JI"	"ji"	"耞"
"帤"	""	"RS"	"rong"	"帤"
"埵"	""	"DO"	"duo"	"埵"
"葈"	""	"XI"	"xi"	"葈"
"娀"	""	"UO"	"shuo"	"娀"
"铚"	""	"VI"	"zhi"	"铚"
"熺"	"火喜"	"XI"	"XI"	"熺"
"複"	""	"FU"	"FU"	"複"
"鳼"	"文鸟"	"WF"	"WEN"	"鳼"
"啈"	""	"HG"	"heng"	"啈"
"夬"	""	"GW"	"gua"	"夬"
"圂"	""	"HP"	"hun"	"圂"
